find out,"na. 查出；发现；看清…的面目；识破
be worse off,"na. 经济情况更不好；情况恶化；更加贫困
"
sign up,"na. 同“sign”
"
sign up for, 报名参加；学生会报名；注册，选课
cooperate with,"un. 协作；合作
"
do away with,"na. 废除；干掉
"
fall asleep,"na. 入睡
"
make ends meet, 使收支相抵；量入为出；收支平衡
in all,"na. 总计
"
be capable of,"v. 能够承担
"
meet with,"na. 碰见；遭遇；偶然发现；达到
"
at odds with,"adj. 相抗争于
"
tell about, 讲述；谈及；讲述有关
be in a rut,"过着/开始过枯燥僵化的生活, 开始墨守成规"
be struck in a rut,无
spend on, 花费；把…花在；在……方面花费
at risk,"un. 担风险
"
at a ... speed,无
allow ... to, 允许；允许某人做某事；容许
mislead ... into doing,无
care about,"v. 在意
"
urge ... to,"un. 力请；力劝；敦促:
"
look around,"na. 看起来好像；环视
"
commit to,"un. 移交
"
at the time, 当时；在那时；在那个时候
trade with sb.,"un. 从事贸易；与…做生意:
"
agree to,"na. 承认(提议；条件)
"
move forward,"na. 前进
"
be filled with, 充满；装满；充满着
deliver ... to,"v. 递交
"
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
catch up with sb.,"v. 赶上
"
for a while,"adv. 片刻
"
no doubt,"na. 无疑地；〈口〉很可能
"
a host of,"det. 很多
"
all the same,"na. 依然；“all/just the same”的变体
"
carry out,"na. 实行；开展；完成
"
trade up,"n. 卖次买好；以次换好的买卖
"
in respect of,"na. 关于
"
be to do sth., 将要做；打算做；准备做
the other day,"na. 上回
"
close off,"na. 结(账)；隔离；封锁；阻塞
"
pay out,"na. 还(债)；放出(绳子)；痛加责罚；〈美〉赚到钱
"
be exposed to, 暴露于；面临；暴露在
pass down,"un. 过；一闪即逝；下达
"
impinge on,"v. 影响到；冲击；打击
"
impinge upon,"v. 影响到；冲击；打击
"
talk to,"na. 向…谈；〔口语〕申斥
"
as for,"na. 至于
"
have the last word,"un. 和…聊聊；最后拿主意
"
happen to,"v. 发生于
"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
hold true for, 适用于；同样适用于
move sb. toward, 朝……移动；朝某一方向；向……移动
in the course of,"na. 在…之中
"
on the basis of ...,"na. 以…为基础
"
make profits of,无
disagree with sb.,"v. 不同意
"
trifle with,"un. 玩弄；心不在焉地做；摆弄:；戏弄:
"
be good at,"v. 善于
"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
pick up,"v. 拾起；探出；重新开始
"
in despair,"na. 绝望地
"
look on the bright side, 看光明的一面；你得看到事情好的一面；看到事物光明的一面
around the corner,"na. (= 〔英国〕 round the corner)在拐角那里
"
end up,"na. 结束；完事；[俚]死；直立着
"
in turn,"na. 挨次
"
fight against,"v. 反对
"
lie with,"na. 和…发生性关系；(责任,义务,决定权等)在于…
"
lag behind,"na. 落后
"
make an apology, 道歉；我会马上道歉；一方面道歉
get through,"na. 花光；了结；(使)通过(议案)；及格
"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
at all times,"na. 不论什么时候；老是；时时
"
on the contrary,"na. 反之
"
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
"
in regard to,"na. “in regard of”的变体
"
come from,"v. 来自；出身；归因于
"
in the making,"na. 酝酿中的；未完成的
"
some of,adj.有些..
to be sure,"un. 当然；无疑
"
as a result of,"na. (作)为…的结果
"
by way of,"na. 当做；作出…的样子；经由；以便
"
a pile of,"na. 一大堆(书籍)
"
piles of, 一大堆；成堆的；一大批
be puzzled by,无
have effect on,对…有影响
in a sense,"na. 在某种意义上；有一点儿
"
waste time doing sth.,无
in some ways, 在某些方面；在某种程度上；在一些方面
first and foremost,"na. 首先
"
have a break,"v. 休息一下
"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
"
give in,"na. 让步；屈服；投降；上交
"
all at once,"na. 忽然；突然
"
set aside,"na. 搁置；拨出；驳回
"
a waste of,"det. 浪费
"
define as,把…解释为；定(某词、短语等)的意义为，下定义为
as usual,"adv. 照常；照例
"
in effect,"na. 实际上；总之；有效
"
be busy with,"v. 忙于
"
intrude on, 侵犯；间接地侵犯；干涉
end up with,"na. 以…而告终
"
originate from,"v. 起源于；发源于
"
be responsible for,"v. 负责；担负
"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
silver lining,"na. (失望或不幸中的)一线希望[一点慰藉]
"
a range of,"det. 一大片；一排
"
be harmful to, 对…有害；对…有危害；对……是有害的
all the time,"na. 始终；〔美国〕老是
"
all day long,"na. “all day”的变体
"
a large number of,"adj. 极多；许多
"
be used to do,无
stick to,"na. 忠于
"
far off,"adj. 远方的；遥远的
"
at the bottom,"na. 实际上；本质上
"
part and parcel of ...,"na. 重要[基本]部分；(…的)重要部分
"
be famous for,"v. 因…出名
"
discourage ... from doing sth.,无
new vision, 新视界；新视觉；新视野
so ... that,"所以,因而"
miss the point,"na. 抓不着要点；不得要领；不懂(俏皮话等的)妙处
"
without permission,"na. 未经许可
"
in terms of,"na. 依…；从…方面；用…特有的字眼
"
marvel at,"v. 对…感到惊异
"
stay away from,"un. 退避三舍；回避；不要到…去；停止和…交往
"
in fact,"na. 事实上；总之
"
at bottom,"na. 实际上；本质上
"
hold onto,"na. 盘据
"
communicate with,"v. 联络
"
be amazed at,"na. 对…大为惊异
"
with time,"na. 随着时间的经过
"
enable ... to,无
face up to,"na. 大胆面向；正面对付；同“face”
"
seek to, 试图；设法；力图
at a rate,"prep.按...的比率,以...的速度"
scoop up,"v. 舀出
"
because of,"na. 因
"
look forward to,"na. 盼望
"
in print,"na. 已出版的；(书等)在出售中的；(书等)尚有供应的
"
in the past,"na. 在过去
"
attend to,"na. 照料(工作)
"
at any rate,"na. 无论如何；至少；总而言之
"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
consist of,"v. 由…合成
"
interact with,"v. 与…相互作用
"
return to,"v. 回到；返回；还给；降到
"
mend one's ways,"na. 改正(不良)行为
"
approach to,"v. 接近；近似于
"
accuse of,"un. 控告
"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
"
exempt from,"v. 使…免除
"
lock away,"na. 锁起来
"
check on,"na. 检查
"
in theory, 理论上；从理论上看；在理论上
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
"
be limited to, 限于；局限于；限制在
rule out,"na. 排除
"
make sure,"na. 尽力做到；深信；务必；务请
"
strive for,"v. 争取；奋发图强；收下
"
go about,"na. 走来走去；着手(工作)；(谣言等)流传；【航】掉转船头
"
thin out,"na. 间(苗)；(听众)减少；变薄
"
on behalf of sb.,"na. 替；为…的利益
"
be key to, 是某事的关键
run counter to,"na. 违反
"
help do, 帮助做某事；帮助干某事；帮忙做
help to do, 帮助做某事；帮忙做某事；有助于做某事
now that,"na. 由于
"
major in,"v. 主修
"
exert influence on, 施加影响；对…施加影响；感化
separate from,"把...和...分开, 把...和...区分开, 使...从...离析"
on a scale of,"按……的等级
按……比例尺"
answer to,"na. 回答；符合
"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
"
be considered as,"v. 被认为是
"
not any more,"adv. 不再
"
take responsibility for, 对…负责；负责；负起对…的责任
range from ... to ..., 范围从到；从……到……的范围；在……中变化
in the workplace,无
in an effort to, 为了；为了完成；努力
in consequence,"na. 因此
"
derive from,"v. 来自；起源于
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
to a certain degree,"na. 在某种程度上；到某种程度；相当
"
to a certain extent,"na. “to a certain degree”的变体
"
believe in,"v. 相信
"
get back to,"un. 报复；回到
"
convince ... of,"na. 使(人)承认
"
prohibit ... from doing sth., 禁止某人做某事；禁止做
a sequence of, 一系列的；一连串；一个…的序列
anything but,"na. 决不是；除…外什么都
"
in an instant,"na. 立刻
"
guilty of, 有……罪的；犯罪；有罪
speak of,"na. 讲起；特别推荐说
"
stress the importance of,无
regard ... as,"v. 当作
"
fill up,"na. 同“fill”
"
figure out,"na. 估计；解决；了解；〈口〉确定
"
hunt for,"na. 追猎；搜寻
"
in general,"na. 一般；大体上
"
stay up,"na. 不去睡觉；不沉
"
crop up,"v. 突然发生；出现
"
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
"
involve in,"v. 卷入
"
care for,"v. 照顾；关心；喜欢
"
ward off,"v. 挡开；架开
"
refer to,"v. 查阅；提到
"
a succession of,"det. 一连串的
"
no longer,"na. 不再
"
race against,"na. 和…赛跑
"
race with, 同…比赛
to a great extent,"na. 大部分
"
out of fashion,"adj. 过时
"
worth doing sth., 值得做的；值得一做的；值得去做某事
in decline,"un. 一落千丈；走向衰落
"
judge from,"v. 以…来判断
"
in public,"na. 公然
"
cut out,"na. 割掉；除去；剪下；开辟
"
discriminate against,"na. 歧视
"
put in place,"n. 安装
"
have a bone to pick with ..., 有账要算；对……不满；与…争辩
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
sweep through,"un. 让(某人)倾心；飞越
"
go forth,"na. 出发；发布；发表
"
intend to,"打算(做)..., 想要(做)..."
tend to,"v. 倾向于；有助于
"
be likely to, 可能；很可能；很有可能
attach importance to sth.,"na. 重视；把重点放在
"
attach significance to sth.,无
stem from,"v. 出于；基于
"
introduction to ..., 介绍；入门；引言
be rooted in, 扎根于；植根于；根源在于
belong to,"v. 属于；附属
"
due to,"un. 由于；预定；因为；亏
"
immune from,无
prior to,"adj. 前于
"
short of,"na. 缺少；达不到；除了；只要不是
"
be supposed to do sth.,"na. …(在职务上)要；〈口〉不许
"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
"
conform to,"na. 遵照；顺应；遵守
"
center around,"un. 围绕
"
center on,"un. 围绕
"
center upon,vt.以...为主题
play a role in,"v. 起作用于
"
recall doing sth.,无
be desperate for,"na. 极想(喝一杯茶)
"
stare at,"na. 瞪着看
"
turn the corner,"na. 转弯；度过危机；情形好转；拐过街角
"
in due course,"na. 及时；顺次；及时地；到一定时候
"
base on,"v. 根据
"
at least,"na. 至少
"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
"
linger on,"na. 同“linger ”
"
set in,"na. 固定；停当；涨潮；进来
"
log in,"na. 进入电脑工作系统；“log on”的变体
"
log on,"un. 注册
"
in vain,"na. 无益地；轻慢地
"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
in return,"na. 作报复[报酬,回答,报答]；作替换
"
in contrast,"adv. 相反
"
by contrast,"un. 相比之下；作对比；与此相反
"
with caution,"na. 留心
"
with delight,"na. 欣然
"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
fail to,"v. 未能；使…失望
"
refuse to,"v. 拒绝
"
be accustomed to,"na. 惯于(苦干,早起)
"
threaten to,无
complain about,"v. 埋怨
"
compare with,"na. 和…比较[对照]
"
depend on,"v. 依靠
"
infer from,"v. 推断
"
be to blame,"na. 该负责
"
lose interest in,"v. 对…丧失信心
"
associate with,"v. 与…联系
"
have influence upon,vt.对...有影响
have influence on, 对某物施加影响；对……产生影响；有影响
have effect upon,无
have effect on,对…有影响
be related to,"na. 和…有(亲戚)关系
"
be reliant on,"信赖,依靠"
take ... into consideration,"v. 顾及
"
be faced with,"v. 面临
"
begin to do sth., 开始；开始做某事；开始去做某事
plan to do sth., 计划做某事；打算做；计划干某事
be available to,"v. 可以用来
"
seem to,"v. 似乎
"
impose on,"v. 强迫；欺骗
"
introduce ... to ..., 介绍；介绍给；向……介绍
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
set an example for, 为……树立榜样；为某人树立榜样；为……建立表率
sense of responsibility, 责任感；责任心；责任意识
take a toll on, 给···造成伤害；损害；对……造成影响
make improvement,无
on the road to,"un. 在旅途中；要；在…过程中
"
admit ... to,"v. 承认
"
admit ... into,"v. 进入
"
suggestion on,无
be prepared for,"na. 准备着
"
get prepared for,无
at the end of,"na. 在…末端；在…的结尾
"
by this means, 通过这种方式；用这种方法；用这种方式
be angry at,"na. 因…而发怒
"
be fatal to, 致命的；对…危害极大
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
"
distract one's attention,无
interfere in,"v. 干涉
"
be distinct from,"v. 与…有差别
"
a sort of,"na. 一种；可以说是…的东西
"
at first glance,"adv. 初看起来
"
deprive ... of,"un. 剥夺
"
make compromises,妥协
live off,"na. 住在…之外；以…为生
"
be skeptical of,无
become skeptical of,无
be skeptical about,无
become skeptical about,无
gain control over,无
get control over,vt.控制
have control over,"un. 掌握；控制
"
in store,"na. 准备着
"
come in,"na. 进入；当选；上台；(党派)组阁
"
between jobs, 失业；待业中；工作之间
pass through,"na. 穿过；经历；经验；遭受
"
on the rise,"na. 在涨；在增加；好转
"
be located in, 位于；坐落于；坐落在
in no time,"na. 立刻
"
conclude from, 相信某事物；从··推断出；从···中得出结论
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
live by,"na. 靠…为生；住在…附近
"
encounter with,偶然遇见，偶然碰到(朋友等)；遭逢(敌人等)；遭遇(危险等)；与…冲突
cut corners,"na. 走捷径
"
for free, 免费地；免费的；为了免费
fair play,"n. 按规则比赛；公平办事
"
meet one's need,满足某人的需要
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get ahead,"na. 获得成功；前进
"
in any case,"na. 无论如何；横竖
"
bring ... under control,"un. 控制不了；制服
"
get ... under control,vt.控制住
in agreement with,"na. 符合…照…
"
wear away,"v. 消逝；磨损
"
by means of,"na. 以
"
be resistant to, 抵抗的；抗拒；有抵抗力的
in light of,"na. 按照；根据；鉴于
"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
in a manner,"na. 在某种意义上；多少
"
take pains,"na. 费苦心；尽力
"
put a premium on,"na. 诱发；助长；鼓励；奖励
"
place a premium on,"na. 诱发；助长；鼓励；奖励
"
set a premium on,无
add to,"na. 增加
"
on loan,"na. 出借
"
on loan from,无
push aside,"v. 推开
"
take apart,"na. 分解；拆分；剖析
"
at best,"na. 充其量也不过
"
sit up,"na. 【体】仰卧起坐
"
bad debt,"n. 坏账；呆账；倒账
"
resign from,"v. 辞职
"
detach from,"v. 分离自
"
cut across,"na. 对直穿过；同“cut”
"
speak for,"na. 代表…讲话；订购；要求得到
"
elite school, 名校；各大名校；精英学校
be liable to,"该受(罚), 应遵守..., 有...的倾向, 易于..."
break away,"v. 逃脱；突然离开；突然离去；挣脱
"
break away from,"v. 脱离；离开；断绝与…的关系
"
let ... in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
at the thought of,"na. 一想到
"
be wrapped up in,"na. 包在…里；埋头在；和…发生密切关联[牵连在一起]
"
box office,"n. 票房；售票处
"
be crucial to, 对……至关重要；决定性的；重要的
stick up for,"na. 支持；维护；为…辩护
"
by mistake,"na. 因错误
"
not have a leg to stand on, （论点等）站不住脚， 对行为无合理的解释等
fall behind,"na. 落后；跟不上；落下；拖欠
"
take care,"v. 当心；留心
"
for ever,"adv. 永远地；永恒地；〈非正式〉无休止地；永无止境地
n. 永恒；相当长的时间
"
so as to,"na. (= in order to) 以便；为使
"
fall apart,"na. 土崩瓦解
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
sit on,"na. 压制；〔口语〕责备；审理(案件等)；调查
"
in the world,"na. 在世界上；究竟
"
as regards sb.,"na. 至于；提到
"
as regards sth.,"na. 至于；提到
"
step up,"v. 加紧；走上前；登上；增加
"
for sure,"adv. 确实
"
in case,"na. 以防万一；作为准备；如果；免得〔用作连词〕
"
just in case,"na. 以防万一；作为准备
"
date back to,"na. 回溯至
"
put forth,"na. [send out 或 throw out] a feeler (用言语或动作)探听别人的反应
"
tie down,"v. 束缚
"
on thin ice, 如履薄冰；履於薄冰；步履薄冰
be stuck in, 陷入；陷进；陷于
be fascinated with,无
switch off,"na. 不收听(某一广播)
"
spell out,"na. 详细说明；【印】正式拼写
"
virtual currency, 虚拟货币；虚拟货币发行；虚拟流通
move up,"na. 提上
"
tear apart,"v. 弄乱；撕破
"
be soft on,"爱上
钟情于
对......温柔"
back down,"na. 打退堂鼓；放弃权利等
"
keep up,"na. 支持；保持；继续；停歇
"
in the eyes of,"na. 在…的心目中
"
fasten ... to,"un. 固着在
"
fasten ... onto,vt.固定在...上
set about sth.,"na. 动手；开始；下手；着手
"
set about doing sth., 着手做某事；开始做；着手干
reach a consensus, 达成共识；意见达成一致
shift from ... to ...,无
fail at,无
a version of,无
sit out,"na. “sit through”的变体
"
sit through,"v. 耐心听完
"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
less than,"adj. 少于
"
in the small hours, 凌晨，天快要亮的时候；在凌晨；午夜时分
sooner or later,"na. 迟早；早晚
"
more or less,"na. 有几分；约；或多或少；一点也…
"
what is more,"na. 加之
"
have faith in,"na. 相信
"
at the cost of,"na. 以…为牺牲
"
vote for,"na. 赞成；〈口〉建议
"
by hand,"na. 用手的；用手递交的；(婴儿)用牛奶抚养的
"
take effect,"na. 有效验；生效
"
be liable for, 对…应负责任的；对…负责；有责任
bed down,"v. 使…安睡；下陷；卧睡
"
snatch at,"v. 抓住
"
pour into, 不断地[大量地]流进[涌进]; 注入; 灌注; 倾注
every so often,"na. 不时
"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
"
scream at,朝…大叫大嚷; 责备
start over, 重新开始；重新来过；从头开始
stick by,"na. 忠于；留在记忆里
"
strive to,"v. 争取；努力
"
come off,"na. 同“come across”；(人)走了；(扣子,齿,发)脱落
"
make a complaint, 抱怨；投诉；提出投诉
talk over,"na. 商谈；说服
"
fill in,"na. 填充；填写；同“fill”
"
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
"
take away,"adj. 买回去的
"
be tolerant of,"na. 对…能容忍
"
straight away,"adv. 马上
"
not in the least,"na. 一点也不
"
rush through,"v. 匆匆完成
"
come down to,"v. 降至；归结起来；变为；归结为
"
out of condition,"adj. 情况不佳
"
package deal,"un. 〔经〕一揽子交易
"
suitable for,"adj. 适合于N
"
suitable to,prep.适于...的
keep one's eyes open,"na. 时刻提防；留神监视
"
keep one's ears open,"un. 私下；竖起耳朵听听
"
prejudice against, 偏重；对……的偏见；对……偏见
root cause, 根本原因；根源；问题根源
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
as far as sb. be concerned,"就…来说, 就…而论"
pay back,"na. 偿还；报答；向…报复；付还
"
bond with sb.,无
hand in,"na. 交进
"
come under,"na. 归入…类[项目]；被…支配
"
drive away,"v. 赶走
"
buy up,"na. 囤积；整批收购；购进(其他公司)
"
be in the grip of sth.,"na. 被…支配
"
stop over,"na. 中途下车；暂留；住在海外；同“stop off”
"
stop over at,v. 中途在…停留
stop over in,无
for the time being,"na. 暂时；一时；临时；在目前
"
feel like sth.,"na. 〈口〉想要…；愿意…；感觉像是…
"
feel like doing sth., 想要做某事；觉得想做；想干某事
have an advantage over,"na. 胜过
"
go out,"na. 出去；灭；辞职；下台
"
time after time,"na. 常常；反复
"
attuned to, 协调
behind the scenes,"na. 知道内幕；秘密地
"
in memory of,"na. 纪念…
"
take cover,"na. 躲避；利用[凭]掩护物；隐蔽
"
in search of,"na. 寻找；去找；追求；为了寻求
"
tear into,"na. 跑进
"
around the world,"un. 环球
"
sit back,"na. 松劲休息；不活动
"
take after,"na. 尾随；仿效；像
"
do justice to,"na. 公平评判；公平对待；逼真；大吃
"
distinguish ... from, 区别；区分；识别，辨别，辨认
wish for,"v. 希望；想要
"
walk up,"na. 使猎犬将(鸟等)惊飞
"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
"
no other than,"na. 就是；只有
"
on record, 记录在案的；记录在案；记录下来的
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
go up,"na. 上升；上城市去；腾贵；烧起来
"
win over,"na. 争取过来
"
go into,"na. 进入；(门等)通着；加入；参与
"
count for ...,"un. 倒数；算作
"
take steps to do sth., 着手落实；采取措施做某事；采取步骤做某事
spring up,"na. 跳上来；发生；萌芽；出现
"
abide by,"na. 坚持；服从
"
couple ... with ...,"v. 连接；结合
"
in quest of,"na. 为求…
"
seek out,"na. 找出；寻求；想获得
"
search through, 把……仔细搜寻一遍；查找；翻遍
tell the truth,"na. 说实话
"
waste away,"na. 消瘦
"
the advent of,(重要人物或事件)…的出现(或到来)
benefit from,"v. 从…得到好处
"
warn of,"na. 警告(某人)有危险
"
at the height of, 在……顶点；在的高峰；在…最鼎盛时期
fall for,"v. 爱慕(某人)；赞赏(某事)；上当；受骗
"
a series of,"na. 一系列；许多
"
above all,"na. 最主要的；最重要的是
"
eminent scholar,n.著名学者
train of thought,"un. 思路
"
agree on,"na. 对…意见一致
"
enroll in,"v. 登记
"
watch out,"na. 当心；留神；小心；提防
"
watch out for,"v. 期待；等待
"
engage in,"na. 从事；参加
"
exchange for,"un. 以…换:
"
on impulse, 一时冲动；一时心血来潮；冲动的
for the most part,"na. 在极大程度上；就绝大部分而言；多半；基本上
"
a majority of, 大部分；大多数；大多数的
the majority of,"adj. 大多数
"
in order to,"na. 为了；从而；以便
"
stand by,"na. 袖手旁观；站在旁边；待机；等待
"
switch on,"v. 打开；接通；参见
"
by far,"na. (修饰比较级,最高级,表示数量,程度等)…得多；尤其；更
"
point of view,"n. 观点；态度；意见；看法
"
superior to,"adj. 胜过；优于
"
on the surface,"na. 表面上
"
draw out,"na. 抽出；拔出；掏出；提出
"
the bulk of,"adj. 大多数；大部分
"
exclude ... from, 把…排斥于…之外；把……排除在外；同上但是使用档案
set a threshold for,无
designate ... as ...,把…称为；指定，定为；选派；任命；指定
real estate,"n. 房地产；不动产；房产
"
at the mercy of,"na. 完全受…支配
"
to the core,"na. 到心
"
take part in,"na. 参加；贡献
"
be aware of,"na. 知道
"
burn out,"na. 烧起来；烧光；烧尽；烧断
"
back and forth,"na. 来回地
"
get the best of,"na. 获胜；胜过
"
in conflict, 有矛盾；不一致；发生冲突
confine ... to ...,"v. 限于
"
specialize in,"v. 专攻；专门研究
"
count on,"na. 指望；预料到；期望
"
the same as,"adj. 与…同样
"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
"
over time,"conj. 随着时间的过去
"
fierce competition, 激烈竞争；激烈的竞争；竞争激烈
show up,"na. 显眼；揭发；嘲笑；露面
"
restore one's bearings,无
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚[苦，损]; 闹; 罹
come in handy,"na. 迟早有用
"
make money,"na. 赚钱；发财
"
call forth,"na. 唤起
"
there and then,"na. “then and there”的变体
"
on the whole,"na. 整体上说
"
for one thing,"na. 第一〔表示列举〕；原因之一是
"
start with,"v. 以…开始
"
be characterized by,"na. 有…的(显著)特点
"
adhere to,"v. 坚持；依附
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
a variety of,"det. 种种；形形色色
"
get ready, 准备好；预备；做好准备
flesh out,"na. 充实；使…具体化
"
far from,"na. 远离；决不
"
as often as,"adv. 每次；每当
"
embark on,"un. 着手
"
embark upon,"un. 登
"
at the expense of,"na. 以…为代价；由…出钱；牺牲…
"
in action, 在行动中；在起作用；行动中的
close to,"na. 接近于；在附近
"
lead up to,"na. 渐渐诱入；【牌戏】设法引出
"
together with,"na. 和…一起[合起来]
"
call for,"na. 呼吁；主张；需要；接(某人)
"
stay with, 和……呆在一起；与…呆在一起；同…住在一起
that is,"na. 即；用于纠正之前说过的内容
"
that is to say,"na. “that is”的变体
"
take into account,"na. 考虑
"
take ... into account,"na. 考虑
"
in the short term, 从短期来说；短期内；从眼前的观点看
throw into,"na. 使投身于
"
all but,"na. 几乎跟…一样
"
earn one's living, 谋生；营生；挣钱维持生计
treat to, 款待；招待；请客
beyond dispute,"na. 无争论余地；的确；无疑
"
slip in,"un. 溜下；不声不响地走进去；出差错
"
saturate ... with, 使充满；使饱和；使大量吸收或充满某物
cope with,"v. 对付；应付
"
crack down,"na. 敏捷地做；拼命做
"
crack down on,"na. 对…进行制裁
"
live in,"na. 住进；(雇员)住在东家
"
stay put,"na. 安装牢固
"
be fond of,"v. 爱好
"
to be fair,"na. 说良心话
"
even if,"na. 即使…也
"
even though,"na. “even if”的变体
"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
do without,"na. 无需
"
come about,"na. 发生；(风等)变向；【航海】抢风调向
"
comment on,"v. 评论
"
a number of,"na. 若干；〔口语〕=numbers of 许多的
"
by nature,"na. 生就；从本性上说
"
bring out,"na. 公布；说出；出版；上演
"
make no difference,"un. 在意；没关系；没有差别；无动于衷
"
to say nothing of,"conj. 更不用说
"
obstacle to, 纪念碑；障碍；的障碍
at length,"na. 最后；充分地
"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
"
more often than not,"na. 通常
"
in particular,"na. 特别；一一
"
nothing but,"na. 不外；〔美国〕〔加强语气〕的确
"
appeal to,"v. 求助于；引起N
"
on paper,"na. 纸上；统计上；理论上
"
in relation to,"na. 关于…
"
with relation to,"na. 关于…
"
in spite of,"na. spite of 不管；〔古语〕无视
"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
"
from the bottom up,"na. 从一开始；彻底地
"
from time to time,"na. 时时
"
put pen to paper,"na. 拿笔写；开始写
"
under ... conditions, 在……情况下；在此条件下；附加条件
get into,"na. 进入；穿上；成癖；陷于
"
over the years,"na. 长年累月
"
if only,"na. 只要；只要…就好了
"
agree with,"na. 适合；赞同；与…一致
"
boast of,"na. 夸耀
"
boast about,"na. 夸耀
"
enthusiasm for,"na. (运动)热
"
