abandon oneself to,"na. 恣意
look round,"na. 环顾；仔细考虑；往周围一看；回头看
"
look at,"na. 看；考虑
"
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
"
look down on,"v. 轻视；看不起
"
look down upon,"v. 轻视
"
look for,"v. 寻找；探索；渴望；盼望
"
look forward to,"na. 盼望
"
look in,"na. 看看；顺便访问 (on somebody)
"
look into,"na. 窥视；调查；过问
"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
look on,"na. 旁观；面向；看做
"
look out for,"v. 照料；寻求；期待；提防
"
look over,"na. 浏览；检查；察看
"
look sth. up,"v. 查找；查阅；探望；看望
"
look through,"na. 浏览；翻查；对…视而不见；看穿
"
look to,"na. 依赖；注意；照料；〈美〉倾向…
"
look up,"v. 查找；查阅；探望；看望
"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
"
look upon,"na. 像很健康；看上去漂亮；(事情)顺利
"
lose heart,"na. 沮丧
"
lose one's temper,"na. 发脾气；发怒
"
lose oneself in,"un. 赔钱；在…中忘却自己；沉没在…里；陶醉在…里
"
lose sight of,"na. 看不见了…；忘了…；失踪了
"
lose track of,"na. 忘记
"
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
"
make a fool of,"na. 愚弄
"
make a fuss of,"un. 过分关心
"
make a fuss over,"na. 大肆吹捧
"
make a point of,"na. 主张；重视；必定
"
make a thing of, 认为……重要；认为…非常重要；把……作为争论点
make a thing out of,对 ... 小题大做
make allowances for,"un. 考虑到
"
make believe,"na. 假装
"
make for,"na. 有利于；对…有益；倾向于；支持
"
make friends with,"na. 跟…做朋友
"
make fun of,"na. 嘲弄
"
make into,"na. 制成；使转变为
"
make it,"na. 赶到；办成功；规定时间；〔美俚〕性交
"
make no bones about,"na. 率直；对…毫不踌躇
"
make of ...,"na. “make certain”的变体
"
make off,"na. 逃亡
"
make one's way,"na. 前往；发迹
"
make out,"na. 理解；发现；起草；证明
"
make peace,"abbr. (=peacemaker)
"
make sense,"na. (话等)有意义；合理；有道理；讲得通
"
make sure,"na. 尽力做到；深信；务必；务请
"
make the best of,"v. 充分利用
"
make the most of,"na. 充分使用；尽量使好[不好]看；极为重视；尽量称赞[贬损]
"
make up,"na. 弥补；起草；定；签订
"
make up for,"v. 偿还；赔偿
"
make up one's mind,"na. 决心 (to do)
"
make use of,"na. 使用
"
make way,"na. 进步
"
map out, 在地图上标出; 筹划[安排]某事; 详细提出某事; 规
mark down,"na. 记下；减价；【打猎】记清(禽兽逃往处)
"
mark off,"na. (用线条,符号等)划分；同“mark down ”
"
mark up,"na. 涨价；赊账
"
mean business,"na. 〈非正式〉认真的；不是说着玩的
"
measure up,"na. 合格
"
meet with,"na. 碰见；遭遇；偶然发现；达到
"
mend one's ways,"na. 改正(不良)行为
"
mess about,"na. 磨洋工；闲荡
"
mess around,"na. 浪费时间；混(日子)；乱管闲事
"
mess up,"na. 搞砸；弄糟；弄脏；弄乱
"
mess with,"v. 惹恼
"
miss out,"na. 错过(机会等)；遗漏
"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
mop up,"na. 揩干；吸取(利润等)；痛击；〈口〉狼吞虎咽地吃[喝]
"
move around,"v. 走来走去
"
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
move in on,"na. (为了捕获而)潜近；企图从某人手中夺取对某物的控制权
"
move on,"na. 继续前进；(使)继续前进；〔交通警察命令〕向前!
"
move up,"na. 提上
"
mow down,"v. 杀死；扫杀
"
nail down, 用钉子钉住（某物）; 迫使（某人）作出决定，讲明意图[采取行动]; 钉牢
nose about,"打听,探听,刺探"
nose around, 到处打听；查探
open up,"na. (打)开；割开；开发(资源)；揭示
"
operate on,"v. 对…施行手术；用…开动
"
own up,"na. 坦白地承认；供认
"
pack away,"na. 解雇；慌慌张张走掉
"
pack in,"na. 停止
"
pack off,"na. “pack away”的变体
"
pack up,"na. 把…打成包；打包；捆好东西；解雇
"
part company with,"na. 跟…分手；跟…意见不合；与…告别[有分歧；绝交]
"
part with,"na. 跟…分别；解雇；卖掉(东西)
"
pass away,"na. 消失；Vi. 经过；去；终止
"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass off as,"na. 把某物冒充为
"
pass on,"na. “pass away”的变体；递；传达；通过
"
pass out,"v. 昏倒；分发；主要用于英式英语
"
pass over,"na. 越过；通入；弹；过(日子)
"
pass up,"na. 绝交；放过；不理；上
"
pay attention to,"na. 注意
"
pay back,"na. 偿还；报答；向…报复；付还
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pay out,"na. 还(债)；放出(绳子)；痛加责罚；〈美〉赚到钱
"
pay up,"na. (全部或按时)付清；缴清(股款等)
"
peel off,"na. 离队；【航空】开始离队急降[俯冲]
"
phase in,"na. 逐步采用
"
phase out,"na. 使逐步结束；使逐步撤出；逐步淘汰；逐部停止(活动等)
"
pick at,"na. 不断挑剔某人；拣拣吃吃；同“pick”
"
pick on,"na. 与…为难；不断责骂；挑中
"
pick out,"na. 挑选；掘出；闻出；领会
"
pick to pieces, 严厉批评，对…吹毛求疵
pull to pieces,"na. 扯碎；批评得一文不值
"
pick up,"v. 拾起；探出；重新开始
"
pile up,"na. 堆积；积聚；(汽车等)挤在一起；(使)(船)搁浅
"
pin down,"na. 强迫(人)承认[履行]条约；用…束缚住；阻止；牵制
"
pitch in,"na. 热情参加
"
plan on,"na. 想要
"
play a part in,"v. 贡献力量；起…作用
"
play at, 玩…; 在…演奏; 在体育比赛中担任…; 假装…的游戏
play back,"na. 回到三柱门方面
"
play down,"na. (迎合对方的意思)放低语气  减弱；轻描淡写
"
play off,"na. (得分相同)进行补赛；使某人出丑[出洋相]；揭某人老底
"
play off against, 完成同其他优胜者的平分比赛; （使）相互争斗以坐收渔利
play on,"na. 奏；利用(别人的恐惧心或信赖心)
"
play out,"na. 做完；用完；使筋疲力竭；放松(绳索等)
"
play up,"na. 〈美〉勇敢行动；越发使劲弹奏；(比赛等时)奋战；逗弄
"
plug in,"v. 插入；插插头；插上
"
point out,"na. 指出
"
poke about,"na. 〈美〉(在书中等)找查；闲荡；多查多问
"
poke around,"un. 围着转；逛一下；到处翻找
"
poke fun at,"na. 嘲弄
"
poke one's nose into,"na. 管…的闲事；干涉
"
stick one's nose into, 管闲事；探问
polish off,"na. “polish away”的变体
"
pop up,"v. 突然出现
"
pour into, 不断地[大量地]流进[涌进]; 注入; 灌注; 倾注
pour out,"v. 倾吐；诉说
"
press on,"na. 向前挤；坚决推进；“press ahead”的变体
"
prick up one's ears,"na. (狗)竖耳
"
prop up,"na. (把…)撑住；给…撑腰
"
provide for,"v. 为…作准备
"
pull apart,"na. 扯断(索子等)；劝开(吵闹)
"
pull away,"un. 绷起脸；开走；抽回；挖走
"
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
pull one's weight,"na. 做好自己的工作
"
pull out,"na. 拔(牙等)；把船划出；(车,船等)开出；(人)出发
"
pull over,"na. (把衣裳)从头上套下来穿；推翻(桌子等)；〈口〉把(车)靠拢路边
"
pull one's leg,"v. 拿···开玩笑；捉弄···
"
pull through,"na. 恢复健康；痊愈；渡过难关
"
pull together,"na. 通力合作；拼凑
"
pull up,"v. 拔起；使…停下
"
push about, <非正>驱使，摆布; 挤来挤去
push around,"na. 〈非正式〉摆布；呼来喝去
"
push on, 继续向前， 坚决进行下去; 用力推[压]…; 把…强加于…; 进栈
push through,"na. 完成(事务)；冲过；(树叶等)长出
"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
put over,"na. “put across”的变体；(船)渡过去；延期
"
put aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put in,"v. 探进；放进；输入；纳入
"
put into practice,"na. 实行
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put one's heads together,共同商量
put out,"v. 扑灭；熄灭；放出；伸出
"
put the screws on, （非正式）给（某人）施加心理压力，强迫（某人）
put through,"na. 经受；测试；试验；使…通过
"
put to death,"na. 处死；处死刑
"
put to use,"na. 用
"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
put up with,"na. 忍住
"
queue up,"n. 长队；车队；辫子
v. 把(头发)梳成辫子；〈英〉排(成)队
"
rack one's brains,"na. 绞尽脑汁
"
rake up,"na. 搜集；搜出；压灭(火)
"
rattle off,"un. 口若悬河；一口气讲
"
rattle on, 喋喋不休；飞奔；罗嗦
reckon with,"na. 和…算账；将…加以考虑
"
reconcile with,"un. 使一致；使相符:；使和解；调解
"
refer to ... as ...,"v. 提交；归类；称谓
"
regarded as, 把……认作；作为；算得上是
rein in,"na. 勒住(马)；控制
"
rely on,"v. 依靠；信赖
"
revolve around,"v. 旋绕
"
ride out,"na. (船等)安然冲过风暴；平安渡过困难
"
ring off,"na. 挂断电话；〔美国〕停止说话；静默
"
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
"
rip apart,"v. 扯破
"
rip off,"v. 剥削；抢劫；强奸；〈俚〉剽窃
"
rise above,"na. 凌驾…之上；超越…；摆脱
"
rise to,"un. 出人头地；在社会大显身手；满足；应付
"
rise up,"v. 升起
"
roll in,"na. (预约者,捐款等)滚滚而来；(浪)滚滚打来；大量进来；到达
"
roll up,"na. 卷起(袖子)；包卷；积贮；缩成圆球
"
root out,"na. “root up”的变体
"
rope in, <非正>说服（某人）（参与某项活动）; 拉拢; 笼络
round off,"na. 弄圆；使成熟；使完美；使圆满
"
round up,"na. 弄成圆球；使数目恰好；使成一个整数；赶在一块儿
"
rub it in,"v. 强调(某事)；指反复提及或特别强调一些令对方觉得尴尬的事
"
rule out,"na. 排除
"
run across,"na. “Come across”的变体
"
run away with,"na. 拐走；带着…逃跑；贸然接受(别人意见等)；消耗(金钱时间等)
"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
"
run into,"na. 冲进；(河)注入(海)；撞上；到达
"
run off,"na. 逃走；流出；(火车等)出轨；越轨
"
run off with,na. 继续作用[有效]；说个不停；【印刷】印完；(排印材料)不另行
run out,"na. 耗尽；用光；过有效期；失效
"
run out of,"na. 用光…
"
run over,"v. 轧过；碾过；演练；排练
"
run through,"na. 穿过；匆匆忙忙看一遍；不间断地排练；花光
"
run to,"na. (数量等)达…；陷于(毁灭,衰亡等)
"
run up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
"
run up against,"na. 碰上；忽然碰上[碰到]
"
rush out,"na. 赶制出来
"
save for,"v. 除了…而外；例外
"
save up,"na. 同“save”；贮(蓄)
"
scale down,"na. (按比例)缩减；【无线】分频；“scale back”的变体
"
scrape by, 勉强度日；勉强维持；勉强过日子
scrape through,"na. 好容易完成；(考试)勉强及格；勉强对付过去；勉强通过
"
scrape together,"na. 一点一点地贮蓄；设法凑拢
"
scrape up,"na. 一点一点地贮蓄；设法凑拢
"
screw up,"na. 拧紧；钉上；卷成螺丝状；扭歪(嘴,脸等)
"
seal off,"na. =seal up.；熨开；脱焊
"
see about,"na. 注意；查看；查询；留意于
"
see eye to eye,"na. 看法一致
"
see off,"na. 送行；送别；告别；赶走
"
see out,"na. “see through”的变体
"
see red,"na. 勃然大怒
"
see through,"na. 看穿；看透；识破；办好某事
"
see to,"na. 注意；留心；当心；检查
"
see to it that, 保证；务必；务必要
seek out,"na. 找出；寻求；想获得
"
seize on,"na. 猛扑；袭击；利用；采用(提议)
"
seize upon,"na. 猛扑；袭击；利用；采用(提议)
"
seize up,"v. 强征…入伍；停止转动
"
sell off,"na. (打折扣)销完；卖清(存货)
"
sell on,"na. 〈非正式〉使…接受；说服(某人)…；倒卖
"
sell out,"na. 卖完；脱销；背叛；〈美口〉欺骗
"
sell up,"na. 拍卖；变卖(债务人的财产以抵债)
"
send away,"na. 撵走；开除；解雇；把…送到远处
"
send for,"na. 派人去叫[请]；遣人去拿；乞求
"
send in,"na. 拿出；提出；递(名片)；送
"
send off,"na. 寄出；发出；送走；打发
"
send for,"na. 派人去叫[请]；遣人去拿；乞求
"
send up,"na. 弄上去；使上升；提出(报告等)；传递(球等)
"
serve out,"na. 分给；分配(食粮等)；端出(饭菜等)；斟(酒等)
"
serve up,"na. 端出(饭菜等)；上(菜)；同“serve”
"
set about,"na. 动手；开始；下手；着手
"
set against,"na. 比较；对照；使对抗；使反对
"
set apart,"na. 分开；分离；留出(充当别用)
"
set aside,"na. 搁置；拨出；驳回
"
set back,"na. 阻碍；延迟；〈非正式〉花费
"
set down,"na. 记入；登记；定；设
"
set fire to,"na. 点燃；放火
"
set forth,"na. 公开；发行；公布；陈述
"
set free,"na. 释放；【化】使游离
"
set in,"na. 固定；停当；涨潮；进来
"
set off,"na. 分；分割；划开；区划
"
set on,"na. 前进；嗾使；挑唆；挑拨
"
set one's heart on,"un. 使得…垂头丧气；热衷；下定决心
"
set out,"n. 开始；出发；动身；准备
"
set up,"na. 建立；创立；发起；开办
"
settle down,"na. 定居；成家；移居；平静下来
"
settle for,"na. 满足于
"
settle in,"na. 定居；殖民；搬入(新住所)；使某人搬进(新住所)
"
settle into,"un. 安置安置；陷入
"
settle on,"na. 决定；选定；授与；赠与(财产,遗产等)
"
settle upon,"na. 决定；选定；授与；赠与(财产,遗产等)"
settle up,"na. 决定；解决；支付
"
sew up,"na. 缝拢；缝合；把…缝入；缝进
"
shake down, <美，口>彻底搜查; 勒索; 使因摇晃而下落; <英，非正> 适应新的生活环境[新的工作]
shade into, 逐渐变为；渐渐变为
shake off,"na. 抛弃(坏习惯)；摆脱(坏朋友)；推开；拆开
"
shake up,"na. 摇匀；摇动；抖匀(枕头等)；震动
"
shape up,"na. 发展；成形；具体化；显示…的倾向
"
shoot down,"na. 〈口〉严厉谴责；〔俚语〕驳倒；射落；打下来
"
shoot up,"na. 上冒；喷出；欣欣向荣；猛长
"
shop around,"na. 到处选购；到一家一家店铺访求[买东西]；〈美〉找事[好职位]
"
shout down, 以喊叫声压倒对方；用叫喊声淹没；用喊声压倒
shove off,"na. (拿篙子)把船撑开；〔美俚〕乘船离开；走掉
"
show off,"na. 卖弄；〈贬〉自以为是；趾高气扬；炫耀
"
show up,"na. 显眼；揭发；嘲笑；露面
"
shrug off,"na. (耸肩)表示轻蔑[不屑]；摆脱；扭身脱掉(衣服)
"
shut away,"un. 把…卸下来；不让
"
shut down,"na. 关闭；关拢(窗等)；停业；禁止
"
shut in,"na. 监禁；围住；遮住；迫近
"
shut off,"na. 阻断；使隔开
"
shut out,"na. 不让进来；遮得看不见；【棒球】不让得分
"
shut up,"na. 关住；监禁；密封；停止
"
sign away,"na. 在证书上签字让与(财产等)
"
sign for,"na. 签收
"
sign in,"v. 签到；登记；当你归还某项借出的物品时；在名单上签字以获得入场资格
"
sign off,"na. 广播结束(时的用语)；停止工作
"
sign on,"na. 签字聘用[就聘]；签字承认；作工作记录
"
sign up,"na. 同“sign”
"
sign out, 登出；退出；注销
sit around, 无所事事；坐着没事干；闲坐
sit back,"na. 松劲休息；不活动
"
sit by,"na. 袖手旁观；坐在一旁
"
sit up,"na. 【体】仰卧起坐
"
size up,"na. 够标准；估量；〔口语〕品评
"
sketch out,"v. 拟订出
"
sleep off,"na. 睡过(时候)；睡掉(忧愁等)
"
sleep through, 未被吵醒；睡过了；惊醒
slip in,"un. 溜下；不声不响地走进去；出差错
"
slip through,"un. 溜出去；漏出去
"
slip up,"na. 滑一跤；〔美国〕弄错；失败
"
slow down,"na. 闲下来；减缓；放慢速度；减速
"
slow up,"na. 减缓；“slow down”的变体
"
snap out of,"un. 怒气冲冲；震飞
"
snap up,"na. 咬住；突然插嘴
"
sniff out,"na. 闻出；〈非正式〉发现
"
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
space out,"na. 加宽行间[词间]间隔排匀
"
speak for,"na. 代表…讲话；订购；要求得到
"
speak out,"na. 大声讲；老老实实讲
"
speak up,"na. “speak out”的变体
"
speed up,"na. 加快(机器等的)速度；使加紧做
"
spell out,"na. 详细说明；【印】正式拼写
"
spin out,"na. 拖延；使(钱等)勉强再维持一段时间；磨度过；使汽车作回形滑行
"
spit out,"na. 同“spit”
"
split up,"na. (使)分裂；〔美俚〕吵架；同“split”
"
spread out,"na. 张开；铺开；扩张；同“spread”
"
spring up,"na. 跳上来；发生；萌芽；出现
"
square off,"na. (拳击中)摆好架势
"
square up,"na. 清账；【拳击】摆好进攻架势
"
stab in the back, 背后插刀；背后捅刀子；背后中伤
stamp on,"na. 拒绝
"
stamp out,"na. 踏灭(火)；扑灭(暴动等)
"
stand a chance of,"un. 想尽办法；可能
"
stand by,"na. 袖手旁观；站在旁边；待机；等待
"
stand down,"na. 【法】退出证人席位；暂时辞退；【军】不在值勤中
"
stand for,"na. 〈口〉忍耐；忍受；主张；拥护
"
stand in,"na. 加入；〈口〉使花费
"
stand off,"na. 〈美〉疏远；延期；离着；【航】离岸行驶
"
stand out,"na. 突出；显著；不参加战争；抵抗到底
"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
stand up for,"na. 拥护
"
stand up to,"na. 抵抗；反抗；反对；经得起
"
stay on,"na. 赖着不走；保持
"
stay out,"na. 不干涉；(在外头)不回家；不在家；坚持到
"
stay put,"na. 安装牢固
"
stay up,"na. 不去睡觉；不沉
"
steam up,"na. (玻璃)蒙上蒸汽而模糊；制造蒸汽；〈口〉拿出精神；鼓励
"
steer clear of,"na. 机灵地脱身
"
step aside,"na. 走到一旁；避到一旁；让给别人；走错路
"
step down,"na. 走下；退出；【电】下降；辞退
"
step down,"na. 走下；退出；【电】下降；辞退
"
step in,"na. 调停；介入；挤进；走进
"
step up,"v. 加紧；走上前；登上；增加
"
stick around,"v. 粘在旁
"
stick at,"v. 对…有顾虑；继续做
"
stick by,"na. 忠于；留在记忆里
"
stick out for,"na. 不停地要求
"
stick to,"na. 忠于
"
stick together,"v. 粘合起来
"
stick up for,"na. 支持；维护；为…辩护
"
stick with, 坚持；继续支持；坚持做
stir up,"v. 转播；重播；搅拌；煽动
"
stock up,"v. 重新得到；找回；储存；储藏
"
stop off,"na. 中途下一下车；用砂填塞(铸模的一部)；〔英口〕进监牢
"
stop over,"na. 中途下车；暂留；住在海外；同“stop off”
"
strike off,"na. 斩去；删去；除去(利息等)
"
strike out,"na. 打去；打出(火花等)；涂去；拟出
"
strike up,"na. 挡起(敌手,刀剑)；(在金属上)浮雕；开始唱；定(约等)
"
string along,"un. 在幕后操纵；欺骗
"
string out,"na. (使)节目拖长；行列长达
"
strip off, 去掉[剥去]某物的表皮; <非正>揭开（伪装）; 脱掉（衣服）; 劈
suck up,"v. 吸收
"
suffer with, 遭受
sum up,"na. 〈口〉概括；总结
"
swear by,"na. “swear before”的变体
"
swear in,"na. 使宣誓就职
"
swear off,"na. 发誓戒掉
"
switch on,"v. 打开；接通；参见
"
switch off,"na. 不收听(某一广播)
"
tag along,"na. 〈非正式〉跟随；尾随
"
tail off,"na. “Tail away”的变体
"
take a chance,"na. 冒险一试
"
take a delight in,"喜爱,以…为乐"
take a fancy to,"na. 爱好
"
take a hand in,"na. 参加
"
take account of,"na. 考虑
"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
take after,"na. 尾随；仿效；像
"
take against,"v. 反对
"
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take ... by surprise,"v. 突然惊吓
"
take care,"v. 当心；留心
"
take care of,"na. 照看；处理；清除
"
take care over,无
take charge of,"na. 看守
"
take cover,"na. 躲避；利用[凭]掩护物；隐蔽
"
take down,"na. 扯下；卷起；记下；卸下
"
take effect,"na. 有效验；生效
"
take exception to,"na. 对…提出异议
"
take ... for granted,"v. 想当然
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take ... in one's stride,轻而易举地做某事
take ... into account,"na. 考虑
"
take ... into consideration,"v. 顾及
"
take it easy,"na. “take things easy”的变体
"
take note of,"na. 注意(到)
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take one's breath away, 令人咋舌；大为惊讶；目瞪口呆
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take over,"na. 接管；继承
"
take pains,"na. 费苦心；尽力
"
take part in,"na. 参加；贡献
"
take place,"na. 发生；举行
"
take stock of,"v. 鉴定；估计
"
take the place of,"na. 接替某人的位置
"
take to,"na. 嗜好；开始；参加；逃入
"
take turns,"na. 替换
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk back,"na. 回嘴；反复重说；反唇相讥
"
talk down to,"v. 降低声调说
"
talk into,"na. 说服(某人)做…
"
talk ... out of, 劝阻；说服某人不做某事；强迫同意或决定不做
talk over,"na. 商谈；说服
"
tangle with, 争吵；纠葛；与…争吵
team up,"un. 配合
"
tear apart,"v. 弄乱；撕破
"
tear at,"v. 撕
"
tear away,"na. 撕掉；扯开；飞跑
"
tear down,"na. 拆毁；扯下；猛冲
"
tear into,"na. 跑进
"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
tell a white lie, 说善意的谎言；善意地谎言；说一个善意的谎言
tell apart,"na. 辨别
"
tell off,"na. 数清；分派(工作)；【罕】编号；谴责
"
tend to,"v. 倾向于；有助于
"
think back,"un. 苦苦地思索；回忆
"
think back to, 回想；回想过去；回忆起
think of,"na. 想起
"
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think through,"na. 仔细考虑；全面考虑
"
think up,"na. 想出；〔口语〕发明
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw in,"na. 投入；发边界球；注入；插入
"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
throw out,"na. 投出；拒绝；否决(议案)；派出
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
throw light on,"na. 弄明白
"
throw light upon, 阐明，使…清楚
cast light on, 映照；阐明；使明白
cast light upon,阐明;使人理解某事;使某事更为清楚 [亦作 shed (或 throw a flood of) light on (或 upon)]
tidy away,"un. 把(某物)收藏起来:
"
tie down,"v. 束缚
"
tie in with,"un. 牵制；与…联合在一起
"
tie up,"na. 绑；系；包扎；(船只)系泊
"
tighten up,"na. 同“tighten ”
"
tip off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；〈俚语〉杀死
"
tire out,"na. 使疲倦到极度
"
touch down,"na. 【橄】触地得分；【航】着陆；着陆过程中的一部分；着陆时间
"
touch off,"na. 正确地表现；草草写；添画；发射
"
touch on,"na. 说到
"
touch upon,"与...有关, 涉及..., 提到..., 提及, 谈及"
track down,"v. 追赶
"
trade in,"na. 用交换方式购入
"
trade off,"na. 卖出
"
trade on,"na. 利用(某人的)名声
"
trade upon,(为自私的目的)利用
trail away, 散去; （声音）逐渐变弱
trail off,"na. (声音)逐渐消失；“trail away”的变体
"
treat of,"un. (正式用语)论述；论及:
"
trip up,"na. 同“trip”
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
tuck away,"na. 藏起
"
tuck in,"na. 〈非正式〉大吃一顿；掖被子；塞入；折进
"
tuck up,"na. 折起一头；包；〔口语〕绞死(犯人)
"
tumble to,"v. 领会；了解
"
tune in to,"v. 拨；收听
"
turn a blind eye to,"na. 对…熟视无睹；假装不见
"
turn away,"v. 转变方向
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn into,"v. 变成
"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn round,"na. 旋转；(忽然)转过身来
"
turn the tables,"v. 扭转形势；扭转局面
"
turn to,"v. 向(某人)求助；求助于
"
turn up,"v. 朝上翻；出现
"
use up,"na. 用完；耗尽
"
used to,"modalv. （用于过去持续或经常发生的事）曾经
v. 过去常常
"
vote in,"un. 否决；当选
"
wade through, 徒涉；艰难地通过；从河水中走过去
wait for,"na. 等；等待
"
wait on,"v. 等着
"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
wake up to, 认识到；认识到…的重要性；意识到
walk out,"na. 出去；〔美国〕罢工；(丢开人)走掉
"
walk over,"na. (无竞争者时)独自走完(跑场)；轻易击败(对方)
"
walk up,"na. 使猎犬将(鸟等)惊飞
"
wall in,"un. 自我堵塞
"
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
wash one's hands,"na. 洗手；〔委婉语〕上厕所；断绝…的关系
"
wash out,"v. 洗掉
"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
"
wave aside,"na. 挥手使站开；挥手拒绝[排斥]
"
wear away,"v. 消逝；磨损
"
wear off,"na. (精力)衰退；(衣服等)渐破
"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
win out,"na. 摆脱
"
win through,"na. 摆脱
"
win over,"na. 争取过来
"
win up,na. 起立；上马；登上
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
wink at,"na. 对…使眼色；假装没看见
"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
work at,"na. 从事；用功读
"
work on,"na. 对…有效[有作用]；动(人,感情等)；向…做工作；左右
"
work off,"v. 渐渐消除
"
work out,"v. 作出；拟定；制定；计划一下
"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
"
worth one's salt,"na. 不是吃白饭的
"
wrap up,包裹；圆满完成；（使）穿得暖和（wrap somebody/yourself up）；注意力完全集中于……
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
"
zip up,"na. 打气
"
above all,"na. 最主要的；最重要的是
"
above board,"adj. 光明正大的
"
above one's head, 难以理解；高深莫测；超出某人的理解力
over one's head, 难以理解；难懂；太难了
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
"
across the board,"adj. 全面的；定时播送的
"
after all,"na. 毕竟；终究；最后
"
ahead of,"prep. （时间、空间）在…前面；早于；领先
"
ahead of time,"na. 比原定提前地
"
around the corner,"na. (= 〔英国〕 round the corner)在拐角那里
"
round the corner,"na. 在拐弯的地方；在拐角处；在附近
"
at last,"na. 终于
"
at long last, 终于; 经过很多苦恼或麻烦之后; 总算; 算
as a matter of fact,"na. 事实上；事实是
"
as a result,"adv. 结果
"
as a rule,"na. 照例
"
as a whole,"na. (作为一个)整体
"
as far as,"na. 远到；就；尽；至于
"
as follows,"na. 如下；以下
"
as for,"na. 至于
"
as to,"na. 〈正式〉至于；说到
"
as much,"na. 同量的；同样地
"
as often as not,"na. “more often than not”的变体；往往
"
as regards,"na. 至于；提到
"
as well,"na. 也；同样
"
as yet,"na. 至今还
"
at a glance,"na. 一看就；初看
"
at a loss,"na. 无办法；(猎犬)失去猎物嗅迹；亏本地
"
at a time,"na. 一次(多少)；同时；曾经；连续
"
