Break a leg!,"na. 〈非正式〉祝好运
get a fix on sth., <口>（通过雷达等电子仪器）定出（某物的）位置
have a fix on sth.,无
get a hard time,无
have a hard time,"na. 日子不好过；遭殃
"
get a licking, <口>被痛打，被打败
take a licking,"na. 失败；弄糟；赔本
"
Get a life!,做点有益的事；振作起来；别呆头呆脑
get a red face,无
have a red face,无
get a shellacking,无
take a shellacking,无
get a start,"na. 吃惊
"
have a start,无
get ahead of,"na. 胜过
"
get ahead of ...,"na. 胜过
"
get ahead,"na. 获得成功；前进
"
get along,"na. 过日子；生活；团结；进步
"
get along in years,年老;上年纪
get along,"na. 过日子；生活；团结；进步
"
get around to sth.,"v. 找时间做
"
get away from ...,"v. 逃脱
"
get away,"na. 逃脱；出发；把…送出
"
get back at sb.,"na. 报复
"
have back at sb.,无
get back,"na. 取回；回来；送回；〈俚〉报复
"
get busy,"na. 干起来
"
get by on sth., 靠……过活
get by,"na. 走过；〈美〉勉强混过去
"
get cracking,"na. 〈非正式〉立即行动
"
get dolled up,无
get all dolled up, 盛装；打扮的花枝招展
get down to sth.,"v. 认真对待
"
get down to the facts,无
get even with sb.,偿还债务；向(某人)报仇；报复(某人)
get even,"un. 认真对待；定下心来做；报复
"
get fresh with sb.,对 ... 放肆无礼
get fresh,"na. 厚脸起来；变得无礼
"
get in on sth., 参加；加入；参与
be in on sth.,"v. 参预；加入
"
get into an argument with sb.,"na. 与…发生争论
"
get involved with ...,"na. 给…缠住
"
get involved, 参与；参与我们；介入
get it all together, 沉着冷静；沉着应战；不慌不忙
have it all together,[美国俚语]；把生活安排得井井有条；使身心都得到平衡
get it together, 振作起来；打起精神；一起分享
get it in the neck,"na. 大受攻击；遭殃
"
get mad at ...,无
get mad,"v. 发怒
"
Get off it!,"别胡扯了,别装模作样了"
get on ...,"na. 上马；安上；过日子；相投 (with together)
"
get one's best shot,无
have one's best shot,无
get one's dander up,[口语]发怒，动怒，恼火，发脾气
get one's back up,"na. 发怒
"
get one's hackles up, 令人发指
get one's Irish up,冒火，动怒，发脾气
have one's dander up,无
have one's back up,发怒，生气
have one's hackles up,无
have one's Irish up,无
get one's goat,激怒某人；嘲弄某人；挫伤某人
get one's fill of ...,无
have one's fill of ...,饱受…；厌倦于…
get one's number,无
have one's number,un. 摸熟某人的脾气；对某人的人品心中有数
get one's say,无
have one's say,"un. 发言权；表达意见
"
get one's way with ...,无
have one's way with ..., 与某人发生性关系
get one's way, 随心所欲；如某人所愿；得逞
get one's wits about one,无
have one's wits about one,"na. 头脑冷静；保持警惕
"
get out,"na. 摆脱；走出；〔命令语气〕出去!
"
get out of one's way,无
get out of sth.,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
get ready to do,无
get ready to do sth.,无
get ready, 准备好；预备；做好准备
get ... down,"na. 开始认真对待；落下；下车；写下
"
get ... out of the way,"v. 解决；除去
"
get ... started,"v. 开始
"
have ... started,无
get something on sb.,无
have something on sb., 拿着某人的把柄；抓住某人的把柄
get stars in one's eyes,无
have stars in one's eyes, 天真烂熳
get sth.,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
get it,"na. 懂得；挨骂
"
get sth. back,"na. 取回；回来；送回；〈俚〉报复
"
get sth. off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get off sth.,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get sth. over with,"un. 就会过去；把…安排好；干脆了事
"
have sth. over with,无
get sth. over,"na. 同“get across”
"
get sth. sewed up,无
have sth. sewed up,无
get sth. under one's belt,无
have sth. under one's belt,无
get the advantage of sb.,"胜过,优于"
get an advantage of sb.,"胜过,优于"
get the advantage over sb.,"胜过,优于"
get an advantage over sb.,"胜过,优于"
have the advantage of sb.,"un. 得天独厚；有机会；比…幸运；比…有利
"
have an advantage of sb.,有…的优点
have the advantage over sb., 胜过；此词条
have an advantage over sb.,"na. 胜过
"
get the edge on sb.,无
get an edge on sb., 胜过；怀恨某人；胜过某人
get the edge over sb.,无
get an edge over sb.,〈俚〉胜过某人;〈美〉怀恨某人
have the edge on sb., 比……优越；比…强；战胜
have an edge on sb.,有点醉，微醉，略有醉意；(略为)胜过；(略)占优势；怨恨(某人)；怀恨(某人)
have the edge over sb., 比……占着有利地位；略胜一筹
have an edge over sb., 比某人占优势；更有优势
get the brushoff,碰了个钉子，未受注意，未被采纳，未被理睬，受到冷遇；碰了个钉子，未受注意，未被采纳，未被理睬，受到冷遇
get the business,"na. (被)粗暴地对待；(被)作弄
"
get the creeps,无
have the creeps,无
get the willies,无
have the willies,无
get the gate,"na. 被赶出
"
get the go-by,[口语]被忽视；被冷落
get the goods on sb., 抓到……的把柄；抓到某人的把柄
have the goods on sb.,vt.  知道内幕(在 ... 身上发现确凿的罪证)
get the high sign,无
get the lead out of one's pants,[美国俚语]别再拖拖拉拉；赶紧行动起来；加紧干；[美国俚语]加紧工作；开始工作，干起来
shake the lead out of one's pants,无
get the lowdown on ...,[俚语]知道…的内幕(或实情)
get the lowdown,无
get the old heave-ho,[口语]被(某人)抛弃；被(某人)解雇
have the old heave-ho,无
get the heave-ho,[口语]被(某人)抛弃；被(某人)解雇
get the once-over,无
get the slip,无
get the works,"na. 遭虐待；被杀
"
get the worst of sth., 失败于
have the worst of sth.,在…中被击败
get to first base,"na. 取得成功的；完成了第一步
"
get to first base with ...,无
reach first base,= get to first base
reach first base with ...,无
get two strikes against one,无
have two strikes against one,"na. 三击中有二击不中；〔美口语〕处境不利
"
get underway, 开始；启程；准备航行
be underway, 在进行中；处理之中；正在进行
get up,"na. 起床；起身；站起来；叫…起床
"
get used to ...,"na. 变得习惯于
"
get wet, 淋湿；弄湿；变湿
get what for,无
get with sth., 开始做；着手做
be with sth.,"na. 患(肺炎)
"
give an ear to ...,"倾听, 注意"
give one's ear to ...,无
give as good as one gets,"na. 回敬
"
give birth to ..., 生（孩子），生育; 引起，产生; 娩出; 娩
give birth, 使诞生；生孩子；产仔
give credence to sth.,"na. 相信
"
give sb. an account of ...,"na. 叙述；说明
"
give credit where credit is due, 有功则赏；谁的功劳就应记在谁的名下；归功于有功者
give free rein to sb.,对…放任；使…自由发挥；放纵；不加约束；放松缰绳，让马自由行走
give sb. free rein, 给予行动或表达上充分自由
give ground,"na. (狐狸)逃入地穴
"
give in to ...,"v. 交上；同意；接受
"
give in,"na. 让步；屈服；投降；上交
"
give it the gun,"na. 开动
"
give her the gun,[口语]使(汽车、飞机等)加快速度，使…加速行驶；加大油门；开足马力
give it to sb. straight,无
give it to sb.,[口语]处罚；痛骂；痛打；让(某人)尝尝厉害；[美国俚语]与某人性交
"give one an inch, and one will take a mile",无
"if you give one an inch, one will take a mile",无
give one one's walking papers,无
give one's right arm for ..., 不惜代价
give one's right arm, 做出任何牺牲；付出极大代价；付出任何代价都愿意
give oneself airs,"na. 自大
"
give out,"na. 发表；放出；分发
"
give rise to sth.,"na. 惹起
"
give sb. a line,无
feed sb. a line,无
give sb. a pain,无
give sb. a piece of one's mind,无
give sb. a ring, 打电话给某人；打了一个电话
give sb. a buzz,"na. 〈俚〉给某人打电话
"
give ... a wide berth, 躲避，别接近
give ... away,"na. 赠送；分发；放弃；露马脚
"
give away sth.,"na. 赠送；分发；放弃；露马脚
"
give ... up,"na. 放弃；断绝；投降；自首
"
give up ...,"na. 放弃；断绝；投降；自首
"
give sb. pause,无
give pause to sb.,"na. 使踌躇
"
give sb. the eye, 抛媚眼；送秋波；给以白眼
give sb. the shirt off one's back,[口语]把所有一切都送给别人
give sb. tit for tat,"n. 针锋相对
"
give sb. a black eye,无
give sb. a bright idea,无
give sb. to understand sth., 向某人暗示
give sth. off,"na. 发散(水蒸气等)
"
give off sth.,"na. 发散(水蒸气等)
"
give sth. out,"na. 发表；放出；分发
"
give out sth.,"na. 发表；放出；分发
"
give the bride away,无
give the devil his due,"na. 公平对待；对坏人也要实事求是；公平对待自己不喜欢的人
"
give the devil her due,无
give the game away,"na. 泄密；露馅；露出马脚
"
give up,"na. 放弃；断绝；投降；自首
"
give up the ghost,"na. 死
"
give vent to sth.,"na. 发泄
"
give voice to sth.,"na. 表现
"
give way to ...,"断裂, 倒塌, 垮了; 让某人在先, 让出, 放弃; 听任自己流露; 让步, 妥协; 被代替"
give way,"na. 倒塌；忍不住…了出来；划起来；(价格)跌落
"
give sb. a break,"na. 给(某人)一个面子
"
give sb. a dirty look, 瞪人；给了个白眼
give sb. a free hand with sth.,无
give sb. a free hand, 给予自行处理的权力；床下；放手让
give sb. a hand for sth.,无
give sb. a hand,"un. 制住；帮着干一点
"
give one a run for one's money,无
give sb. a hand with sth.,无
give sb. a hard time, 添麻烦；抱怨；使他做……非常不容易
give sb. a rough idea of sth.,无
give sb. the devil,无
give sb. hell, 挨痛骂；使人受罪；受严惩
give sb. a raw deal,无
give sb. a reputation as a sb.,无
give sb. a reputation,无
give sb. the cold shoulder, 爱理不理；冰冷的语气；冷淡对待某人
give sb. the red carpet treatment,无
give sb. the ax,[口语]；解雇(某人)，裁减(某人)，开除(某人)；削减；突然断绝和某人的关系，与…一刀两断；拒绝某人(男友或女友)，抛弃(恋人等)
give sb. the sack, 炒鱿鱼；解雇
give a good account of oneself,"na. 付清欠账
"
give chase to ...,"na. 追踪；追击
"
give chase, 追赶；追击
give of oneself, 腾出时间和力量来帮助别人；贡献自己的时间和精力；牺牲自己的时间和精力
give one one's freedom,无
give oneself up to ...,"un. 沉溺于；热心参加；埋头于
"
give oneself up,"na. 决心；断念；专心于；投降
"
give out with sth.,无
have out with sth.,无
give sb. a big send-off,无
give sth. a lick and a promise,"马虎了事,敷衍从事"
give sb. a reputation for doing sth.,无
give ... a head start on ...,无
give ... a head start,无
give sb. some skin,无
give sb. five, 击掌表示友好；结婚纪念日一样耶
slip sb. five,无
give sb. the creeps,无
give sb. the willies, 使某人很害怕
give sb. the go-ahead, 世界银行已获准
give sb. the green light,"na. 准许前进
"
give sb. the old heave-ho,无
give sb. the heave-ho,无
give sb. the once-over, 非同一般地看某人
go a long way toward doing sth.,无
go a long way in doing sth.,无
go about doing sth., 着手做某事；处理某事物；着手干某事
go about one's business,专心(或干、注意)自己的事；走开，去你的吧[多用于逐退多管闲事者]；不要干涉别人的事
go against the grain, 不合；令人讨厌或不高兴；背道而驰
go ahead with sth.,"v. 继续
"
go all out,"abbr. (=go all-out)全力以赴
"
go all the way with sb.," 完全同意…的意见,(与…)完全一致; 心甘情愿地满足…的要求; (同…)性交"
go all the way, 完全一致；完全同意；坚持到底
go to bed with sb., 与…上床来代替
go to bed,"na. 睡；同床；【印】付印
"
go ape over ...,"na. 迷住
"
go ape,"na. 变狂热
"
go around in circles, 兜圈子；转圈移动；瞎忙
go in circles, 兜圈子
go astray,"na. 走错路；误入歧途
"
go away empty-handed,无
go back on one's word,"na. 背弃诺言
"
go bad,"na. (食品,蛋等)坏掉
"
go bananas,"na. 〈非正式〉发怒；激动
"
go begging,"un. 没销路
"
go broke,"na. 破产
"
go cold turkey, 戒掉和他之间的联系；完全戒烟；快速戒掉坏习惯
go down fighting,无
go down in history, 载入史册; 名垂青史; 青史留名; 名垂千古
go downhill, 每况愈下; 走下坡路; 恶化; 衰落
go Dutch,"v. 各自付费
"
go easy on ..., 温和对待；节约使用；酌情处理
go easy,"na. 不紧张；别急!
"
go for broke,"na. 〈非正式〉孤注一掷；放手一搏
"
go for it,"na. 尽力争取；试一试
"
go from bad to worse,"na. “from bad to worse”的变体
"
go haywire,"na. 发疯；出毛病
"
go hog wild, 变得兴奋而狂乱，无约束；行动放肆；把A描写成B
go in one ear and out the other, 一耳朵进，一耳朵出；左耳进右耳出；总是忘事
go into a nose dive,"陷入困境,失败;丧失信心,心灰意懒"
take a nose dive,"大跌
暴跌
下跌"
go into a tailspin,"陷入困境,失败;丧失信心,心灰意懒"
go into effect,"v. 生效
"
take effect,"na. 有效验；生效
"
go into sth.,"na. 进入；(门等)通着；加入；参与
"
go it alone,"na. 单干
"
go like clockwork, 非常顺利
go off the deep end,"na. 游泳时投入深水；冒险；控制不住自己；发脾气
"
jump off the deep end,发脾气；[美国俚语]仓促行事；采取果断行动；=go off the deep end
go on a binge,无
go on doing sth., 继续做；继续做原来做的事；继续做同一件事
go on with sth.,"v. 继续
"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
"
go out for sth.,"na. 拚命取得
"
go out,"na. 出去；灭；辞职；下台
"
go out of one's way to do sth.,无
go out of one's way,"na. 绕弯儿走；不怕麻烦；特地；故意
"
go over like a lead balloon, 遭到反对；主张和建议不受欢迎
go over one's head, 天马行空，不知所云
go over sth.,"na. 仔细查看；仔细搜查；排练；重温
"
go over sth. with a fine-tooth comb,"na. 仔细检查；搜查
"
search sth. with a fine-tooth comb,无
go over with a bang,"〈美〉进行得非常顺利,非常成功"
go overboard,"na. 〈非正式〉(说话,做事)过头；走极端
"
go places,"na. 表演精彩；成功；出去寻乐
"
go scot-free, 安然无恙；逍遥法外；逃之夭夭
get off scot-free,逍遥法外
go sky high,无
go the distance,"na. 坚持干到最后一次
"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
go through channels, 按部就班
go through the motions, 走过场；虚应故事；装装样子
go through the roof, 飞涨；价格冲破屋顶；暴跳如雷
go through with sth.,"v. 完成；做到底
"
go to any length, 想一切办法；尽一切力量
go to bat for sb.,"na. 替…辩护；主张；为人辩护判决
"
go to bed with the chickens,睡得很早
go to hell,"un. 吃苦；很糟糕；活见鬼；不会睬
"
go to the devil,"na. 落魄；滚开；惨败
"
go to hell in a handbasket,迅速地堕落(或衰退)
go to pieces,"na. “fall to pieces”的变体
"
go to one's head,冲昏头脑；使自负，得意洋洋
go to pot,"na. 没落；被毁坏；垮掉；破产
"
go to the dogs,"na. 堕落；灭亡；〔美国〕努力全成泡影
"
go to the expense of doing sth.,无
go to the expense,无
go to the limit,无
go to the trouble of doing sth.,无
go to the trouble to do sth.,无
go to the trouble,"un. 出问题；费事
"
go to the wall,"na. 陷入绝境；(事业)失败；被遗忘
"
go to town,"na. 进京；〈美〉去市区买东西；过浮华生活；会活动
"
go together,"na. 相配；〔口语〕恋爱；一块儿去
"
go too far,"na. 走极端
"
go under,"na. 沉没；没落；失败；屈服
"
go to show, 说明；证明；成为某事的证据
go under the knife,"na. 动外科手术
"
go up in flames, 毁于大火; 突然地和完全的结束，破灭。毁于一旦。
go up in smoke,"na. 成为泡影；烧光；化为乌有
"
go whole hog,"na. 〈非正式〉全力以赴
"
go without saying,"na. 不待说
"
gone on,"na. 往前走；继续…下去 (with； doing)；日子过得
"
be gone on,"爱上,喜爱"
go after ...,"na. 追求
"
go all the way to sth.,无
go all the way, 完全一致；完全同意；坚持到底
go along for the ride, 逢场作戏；凑凑热闹；随大溜
go along with ...,"na. 陪[随]…一起去；赞同
"
go along,"na. 前进
"
go at ..., 职业倾向标准测试考卷
go back,"na. “Come back”的变体；回来；追溯到；回顾
"
go by the board,"na. (桅杆)折断落于船外；破产；(努力等)落空；失败
"
pass by the board,"落空,失败,输光,前功尽弃"
go chase oneself,[美国俚语]别捣乱，走开；[美国俚语] 别捣乱，走开，滚开
go fly a kite,"na. 滚开
"
go for ...,"na. 去喊；〈美〉拥护；被认为；袭击
"
go great guns,"na. 快速有成效地干
"
go in a body,无
go in for sth.,"na. 赞成；寻求；参加
"
go into action,"na. 开始行动；投入战斗
"
swing into action, 迅速采取行动
go into one's song and dance about sth.,无
go into orbit,"进入轨道;获胜;兴奋,发怒,失去自制能力"
go off,"na. 进行得 (well； badly)；(话等)冒出
"
go off half-cocked, 发脾气; 轻率作出反应
Go on!,"na. 往前走；继续…下去 (with； doing)；日子过得
"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
"
go on a fishing expedition,"na. 摸底
"
go on and on, 继续不停；说个不停；还有反复
go on strike,"na. 实行罢工
"
go out on strike,举行罢工
go one better,"na. 胜过某人
"
do one better,无
go out in search of ...,无
go out with sb., 同…去约会；和…约会；和…出去
go right through sb.,无
go round the bend, 发狂；发疯；变得歇斯底里
go around the bend,无
go so far as to say sth.,无
go stag, 不带女伴去参加舞会；未带女伴参加交际会；不带女伴参加社交集会
go steady with sb., 和某人确定关系；仅与经常约会；与…约会外出
go steady,"na. 成为关系相当确定的情侣；经常只和某一异性朋友约会出游
"
go stir crazy,无
go straight,"na. 笔直走
"
go the limit,"na. 运动赛完全局[全场]
"
go through sth.,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
go through the changes,无
go to Davy Jones's locker,无
go to rack and ruin,"na. (=wrack)走向毁灭 ；陷于毁灭
"
go to wrack and ruin, 毁灭，荒芜，坍塌
go to the bathroom, 上厕所；去洗手间；上洗手间
go to waste,"na. 糟蹋掉；(钱财等)被浪费掉
"
go up,"na. 上升；上城市去；腾贵；烧起来
"
go with ...,"na. 同…一致；跟…谈恋爱；带有；领会
"
go without sth.,"na. 缺少；没有…而忍受过去
"
go without,"na. 缺少；没有…而忍受过去
"
go wrong,"na. 走错路；失败
"
have a ball,"v. 〈非正式〉尽情享受；玩得开心
"
have a big mouth, 话多的人；说话冒失；大声说话
have a bone to pick with sb., 有账要算；对……不满；与…争辩
have a bone to pick,"v. 与…有争执
"
have a brush with ..., 与…发生小冲突
have a chip on one's shoulder,"na. 盛气凌人；好打架；好争吵
"
have a close shave,无
have a close call,无
have a narrow escape,"na. 九死一生
"
have a familiar ring,无
have a fit,"na. 〈非正式〉大发脾气
"
throw a fit,"na. “have a fit”的变体
"
have a go at sth.,"v. 试一试
"
have a go,"un. 走到…身边；试一试；好好干一场
"
have a good command of sth.,"na. 能自由应用(英语)
"
have a good head on one's shoulders,"na. 有见识；有能力
"
have a good thing going,无
have a green thumb, 擅长园艺；善於园艺；某人很会种花种菜
have a heart,"na. 发发慈悲
"
have a heart of gold, 有一颗金子般的心；好人；心好
have a heart of stone, 铁石心肠；心如铁石；铁石心肠的
have a heart-to-heart talk,无
have a heart-to-heart, 促膝谈心；S和B说了交心话；交心谈话
have a lot going for one,〈口〉有很多有利条件
have a lot going,无
have a lot of promise,无
have a lot on one's mind,无
have a low boiling point,无
have a near miss,无
have a penchant for sth.,无
have a penchant for doing sth.,无
have a price on one's head,被悬赏缉拿(或处死)
have a rough time of it,日子不好过
have a rough time,"na. 吃苦头
"
have a screw loose,"na. 螺丝钉松了；(精神等)有点失常[不对头]
"
have a screw missing,无
have a snowball's chance in hell,无
have a soft spot in one's heart for ...,无
have a sweet tooth,"na. 爱吃甜品
"
have a thing about ..., 特别讨厌；对…有偏见；对某事有强烈的好感
have a thing going with sb.,无
have sth. going with sb.,无
have a thing going,无
have sth. going,无
have a voice in sth.,"na. 对…有发言权
"
have a say in sth.,"v. 对…有发言权
"
have a voice, 有一个声音；发言权；有声音
have a say,"na. 有发言权
"
have a way with ...,"na. 善于处理
"
have a weakness for ..., 偏爱；酷爱；很喜爱
have a word with sb.,"na. 和…说一句话
"
have an axe to grind,"na. 别有私图
"
have an eye for ...,"v. 对…有鉴赏力
"
have an eye on ...,"na. 照看
"
have one's eye on ..., 注视；看上；留心着
keep an eye on ...,"v. 密切注意
"
keep one's eye on ...,照看，照管，照顾；密切注视，监视；注意；留神
have an eye out for ...,无
have one's eye out for ...,无
keep an eye out for ...,"na. 记住
"
keep one's eye out for ...,无
have an eye out,警觉;提防(= keep an eye out)
have one's eye out,无
keep an eye out, 警惕；注意；密切注意
keep one's eye out,无
have an itchy palm,[口语]贪财，贪贿[莎士比亚语]
have an itching palm,na. 贪财；贪贿
have another think coming,"v. 〈口〉(想)错了
"
have another guess coming,"〈口〉猜错了,想错了"
have been around,"na. 见识(很)多；世故(很)深
"
have come a long way, 有很大的进展；有大幅地进展；处境己经大大地改善
have designs on ..., 对……有不良企图；心怀觊觎；对……有不良的打算
have dibs on sth.,"na. 对…有权利
"
put dibs on sth.,vt.  要求分享对 ... 的所有权
have egg on one's face, 出丑，丢脸
have eyes in the back of one's head, 脑袋后面长有眼睛，留意到一切而不露声色
have feet of clay, 有潜藏对策严重缺点；有某种根本的弱点或错误
have foot-in-mouth disease,无
have growing pains,无
have had enough, 厌烦；用餐完毕
have had it,"v. 受够了；忍无可忍了
"
have had it up to here,无
have half a mind to do sth.,打算(做某事或说什么)；有点想(做某事或说什么)；颇有意(做或说什么)
have half a notion to do sth.,无
have it both ways,"na. 两者兼顾
"
have it in for sb.,"v. 厌恶
"
have mixed feelings about ...,对 ... 抱矛盾的态度
have money to burn,"na. 过分有钱
"
have no business doing sth., 没有理由做某事；无权或不应该做；没有理由做什么事情
have no use for ...,"na. 不需要；〈非正式〉不喜欢；讨厌
"
have no time for ..., 没时间做；没时间做事；没有时间做
have nothing to do with ...,"na. 办完；和…断绝关系；已和…无关
"
have one's back to the wall, 陷入绝境
have one's cake and eat it too,"un. 无即为有；兼而有之
"
eat one's cake and have it too,[亦作 have one's cake and eat it too] 见cake
have one's ear to the ground,[美国口语]注意人们想的和说的(以采取相应的行动)，密切注视公共舆论动向，让(自己)获得及时的新情况和动向；敏锐；精明
keep one's ear to the ground,[美国口语]注意人们想的和说的(以采取相应的行动)，密切注视公共舆论动向，让(自己)获得及时的新情况和动向；敏锐；精明
have one's finger in the pie,无
have one's hands full with ...,无
have one's hands full,"na. 手头事很多
"
have one's heart in the right place,"na. 真心实意
"
have one's heart set on sth.,"渴望,倾心于"
have one's luck run out,无
have one's nose in a book, 埋头读书；专心读书；埋首书籍
have one's nose in the air, 得意洋洋
have one's work cut out, 面临艰巨的任务；面临艰钜的任务
have other fish to fry,"na. 别有要事
"
have pull with sb.,无
have sb. on the string,无
have seen better days,"na. 过过好日子
"
have ... on one's hands,无
leave ... on one's hands,无
have ... on one's mind,惦记；挂在心上；为…担心，忧虑(某事)
have sth. against ...,认为(某事)是反对…的; 某事对…不利
keep sth. against ...,无
